doc_id,gold_label,pred_label,gold_text,pred_text,context,manual_category,note
article_07,testimony,testimony,"""had been talking to someone in London about getting dirt that the Russians had on Hillary Clinton.""","George Papadopoulos, who was briefly an adviser to the Trump presidential campaign, ""had been talking to someone in London about getting dirt that the Russians had on Hillary Clinton.""","er, Comey told ABC News that ""the investigation was triggered entirely separately from the Steele dossier."" The investigation actually began when the FBI learned in July 2016 that George Papadopoulos, who was briefly an adviser to the Trump presidential campaign, ""had been talking to someone in London about getting dirt that the Russians had on Hillary Clinton."" ""The FBI didn't get any information that's part of the so-called Steele dossier, as I understand it, until after that,"" he said. Regardless, he said, once it learned of the doss",,
article_40,,testimony,,“It’s an invitation for our side,"s a window of opportunity, and the ongoing discussion between the two sides represents the best chance for a meaningful agreement, said Sen. Richard J. Durbin, Illinois Democrat. “It’s an invitation for our side. … You have to be careful. If you talk about taxes, [Republicans] run for the hills. But if you talk about revenue and tax reform, they sit still for that conversation,” he said o",,
article_29,testimony,assumption,Trump denies any collusion with Russia and has called Mueller’s probe a “witch hunt.”,.”,"t he will reward political allies for loyalty with get-out-of-jail-free cards,” Democratic U.S. Representative Don Beyer said on Twitter. “He doesn’t care about the rule of law.” Trump denies any collusion with Russia and has called Mueller’s probe a “witch hunt.” D’Souza, 53, admitted in 2014 he illegally reimbursed two “straw donors” who donated $10,000 each to the unsuccessful 2012 U.S. Senate campaign in New York of Wendy Long, a Repub",,
article_32,testimony,testimony,"Speaking for the entire judiciary, U.S. District Judge John D. Bates said Tuesday that appointing an independent advocate to the secret court is unnecessary and possibly counterproductive","Speaking for the entire judiciary, U.S. District Judge John D. Bates said Tuesday that appointing an independent advocate to the secret court is unnecessary and possibly counterproductive","ne proposal Obama has indicated he supports: putting an independent privacy advocate on the Foreign Intelligence Surveillance Court, which currently hears only from the government. Speaking for the entire judiciary, U.S. District Judge John D. Bates said Tuesday that appointing an independent advocate to the secret court is unnecessary and possibly counterproductive. Officials familiar with the White House review say the panel&aposs recommendation to strip the NSA of its authority to hold Americans&apos phone records has proven difficult for",,
article_36,,testimony,,"It's not about qualification.""","Spicer said of those Democrats, ""Before they've even heard who this individual is, you've got some of them saying 'absolutely no.' That just shows you that it's all about politics. It's not about qualification."" Senate Once Confirmed Him Unanimously Trump pointed out of Gorsuch, ""When he was nominated to the 10th Circuit Court of Appeals, he was confirmed by the Senate unanimously."" Re",,
article_35,,testimony,,me in,"Jim Wallis. “We coalesce around welcoming the stranger,” he said, noting that Matthew 25 is a key Bible verse in the immigration reform debate. “I was a stranger and you invited me in, I needed clothes and you clothed me, I was sick and you looked after me, I was in prison and you came to visit me,” reads a portion of Matthew 25:35-36. Rodriguez’s comments com",,
article_21,,testimony,,“It’s not an order.,"7 and does not have the power to stop it. The White House said the tweet was not an order to Sessions and that Trump was expressing his frustration with the length of the probe. “It’s not an order. It’s the president’s opinion,” White House spokeswoman Sarah Sanders told a news briefing. She denied that Trump was trying to obstruct the probe. “He’s fighting back,” she said.",,
article_04,testimony,testimony,"“It looks worse,” van der Walde said, while adding that it’s too soon to determine what the final level will be",while adding that it’s too soon to determine what the final level will be,"s investment firms, said the cut is bigger than the industry expected, given estimates the government provided in December. ( Also on POLITICO: Full health care policy coverage) “It looks worse,” van der Walde said, while adding that it’s too soon to determine what the final level will be. Republican and Democratic strategists say any cuts to Medicare Advantage, which now covers a third of all Medicare beneficiaries, will give the GOP ammunition to attack Democrat",,
article_04,testimony,anecdote,"In a statement Friday evening, the industry trade group America’s Health Insurance Plans predicted that the proposed cuts would result in seniors losing benefits and choices and urged that payment rates be kept flat",choices and urged that payment rates be kept flat,"uctions under the Affordable Care Act to bring payments to the private plans in line with the traditional Medicare program. ( Also on POLITICO: The politics of Obamacare delays) In a statement Friday evening, the industry trade group America’s Health Insurance Plans predicted that the proposed cuts would result in seniors losing benefits and choices and urged that payment rates be kept flat. “Another round of payment cuts would be devastating,” said AHIP President and CEO Karen Ignagni. AHIP has pledged to continue that campaign of advertising and aggressive lobbyin",,
article_42,testimony,assumption,Supreme Court justices weigh whether pro-life pregnancy centers can be required to give out information about the availability of abortions; 'Fox News @ Night' anchor Shannon Bream reports,Supreme Court justices weigh whether pro-life pregnancy centers can be required to give out information about the availability,Supreme Court justices weigh whether pro-life pregnancy centers can be required to give out information about the availability of abortions; 'Fox News @ Night' anchor Shannon Bream reports. Tuesday’s 5-4 Supreme Court decision overturning a California law that required pro-life pregnancy centers to provide women with information about abortion is a victory for the,,
