doc_id,error_type,gold_label,pred_label,gold_start,gold_end,pred_start,pred_end,overlap_chars,gold_text,pred_text,context,manual_category,note
article_01,same_label_boundary_difference,testimony,testimony,313,451,313,542,138,The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary,The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary and said he wants to see whether the final vote count in California shows a tighter result,"meeting with President Barack Obama that he will ally himself with Hillary Clinton in the fight against Donald Trump. But he's not quite ready to go yet. Story Continued Below The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary and said he wants to see whether the final vote count in California shows a tighter result. He also is planning to go forward with a big rally in Washington, D.C., on Thursday night. After spending an hour meeting with Obama in the Oval Office, Sanders acknowledged tha",,
article_01,same_label_segmentation_difference,testimony,testimony,3705,3821,3704,3821,113,he said he will soon be sitting down with the former secretary of state as she readies for an epic battle with Trump,he said he will soon be sitting down with the former secretary of state || she readies for an epic battle with Trump,"down the road and faced with a crush of reporters. The senator said he spoke ""briefly to Secretary Clinton"" on Tuesday night, congratulating her ""on her very strong campaign."" And he said he will soon be sitting down with the former secretary of state as she readies for an epic battle with Trump. ""I look forward to meeting with her in the near future to see how we can work together to defeat Donald Trump and to create a government which represents all of us and not just",,
article_01,same_label_boundary_difference,assumption,assumption,257,287,253,287,30,he's not quite ready to go yet,But he's not quite ready to go yet,"on bow out of the presidential race, telling reporters after meeting with President Barack Obama that he will ally himself with Hillary Clinton in the fight against Donald Trump. But he's not quite ready to go yet. Story Continued Below The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary and said he wan",,
article_01,same_label_boundary_difference,assumption,assumption,752,838,737,838,86,"who is now the presumptive Democratic nominee, to defeat Trump in the general election","with Clinton, who is now the presumptive Democratic nominee, to defeat Trump in the general election","anning to go forward with a big rally in Washington, D.C., on Thursday night. After spending an hour meeting with Obama in the Oval Office, Sanders acknowledged that he would work with Clinton, who is now the presumptive Democratic nominee, to defeat Trump in the general election. Delivering remarks prepared before his sit-down with the president, Sanders ticked through a list of his priorities, promising to take those issues to the convention in Philadelp",,
article_01,same_label_segmentation_difference,anecdote,anecdote,840,1032,839,1032,191,"Delivering remarks prepared before his sit-down with the president, Sanders ticked through a list of his priorities, promising to take those issues to the convention in Philadelphia next month","Delivering remarks prepared before his sit-down with the president, Sanders ticked through a list of his priorities || promising to take those issues to the convention in Philadelphia next month","meeting with Obama in the Oval Office, Sanders acknowledged that he would work with Clinton, who is now the presumptive Democratic nominee, to defeat Trump in the general election. Delivering remarks prepared before his sit-down with the president, Sanders ticked through a list of his priorities, promising to take those issues to the convention in Philadelphia next month. ""Donald Trump would clearly, to my mind and I think the majority of Americans, be a disaster as president of the United States. It is unbelievable to me, and I say this in all s",,
article_01,same_label_segmentation_difference,testimony,testimony,1838,2161,1838,2161,315,"""This is the last primary of the Democratic nominating process. The major point that I will be making to the citizens of the District of Columbia is that I am strongly in favor of D.C. statehood,"" he said, noting that Vermont has roughly the same population as the nation's capital but does not have the same representation","""This is the last primary of the Democratic nominating process || The major point that I will be making to the citizens of the District of Columbia is that I am strongly in favor of D.C. statehood,"" he said, || that Vermont has roughly the same population as the nation's capital but does not have the same representation","sure that Donald Trump does not become president of the United States."" Sanders continued, ""I will of course, be competing in the D.C. primary, which will be held next Tuesday."" ""This is the last primary of the Democratic nominating process. The major point that I will be making to the citizens of the District of Columbia is that I am strongly in favor of D.C. statehood,"" he said, noting that Vermont has roughly the same population as the nation's capital but does not have the same representation. He also said he looks forward to the final count from Tuesday's primary in California, anticipating a closer result. California Secretary of State Alex Padilla's office said the",,
article_01,same_label_segmentation_difference,testimony,testimony,2435,2593,2435,2593,157,"""July 15 is when we certify all the vote. All the counties have until July 8 to send us their official votes,"" a spokesman from Padilla's office told POLITICO","""July 15 is when we certify all the vote || All the counties have until July 8 to send us their official votes,"" a spokesman from Padilla's office told POLITICO","ipating a closer result. California Secretary of State Alex Padilla's office said the vote tally from Tuesday's primary will not be made official until the middle of next month. ""July 15 is when we certify all the vote. All the counties have until July 8 to send us their official votes,"" a spokesman from Padilla's office told POLITICO. For months, Sanders has pointed to his superior performance against Trump in hypothetical general-election matchup polls, expressing a belief that if he were to overcome Clinton",,
article_01,same_label_boundary_difference,testimony,testimony,3231,3391,3236,3391,155,"Beginning his remarks Thursday, Sanders thanked both Obama and Biden ""for the degree of impartiality they established during the course of this entire process.""","ning his remarks Thursday, Sanders thanked both Obama and Biden ""for the degree of impartiality they established during the course of this entire process.""","fellow Democrats to give him time and space to leave on his own accord. ""I think we should be a little graceful,"" Vice President Joe Biden told CNN on Wednesday on Capitol Hill. Beginning his remarks Thursday, Sanders thanked both Obama and Biden ""for the degree of impartiality they established during the course of this entire process."" Sanders, who began his campaign last April outside the Capitol encircled by a gathering of media, found himself Thursday just miles down the road and faced with a crush of report",,
article_01,same_label_segmentation_difference,testimony,testimony,3824,4096,3824,4096,271,"""I look forward to meeting with her in the near future to see how we can work together to defeat Donald Trump and to create a government which represents all of us and not just the 1 percent,"" Sanders concluded, before rushing away from reporters back into the White House","""I look forward to meeting with her in the near future to see how we can work together to defeat Donald Trump and to create a government which represents all of us and not just the 1 percent,"" Sanders concluded || before rushing away from reporters back into the White House","night, congratulating her ""on her very strong campaign."" And he said he will soon be sitting down with the former secretary of state as she readies for an epic battle with Trump. ""I look forward to meeting with her in the near future to see how we can work together to defeat Donald Trump and to create a government which represents all of us and not just the 1 percent,"" Sanders concluded, before rushing away from reporters back into the White House. Less than two hours later, Clinton's campaign trumpeted Obama's endorsement in a video that was taped on Tuesday. Meanwhile, Sanders was to meet with Biden at his Naval Observat",,
article_01,same_label_segmentation_difference,testimony,testimony,1035,1555,1035,1555,518,"""Donald Trump would clearly, to my mind and I think the majority of Americans, be a disaster as president of the United States. It is unbelievable to me, and I say this in all sincerity, that the Republican Party would have a candidate for president who in the year 2016 makes bigotry and discrimination the cornerstone of his campaign. In my view, the American people will not vote for or tolerate a candidate who insults Mexicans and Latinos, who insults Muslims, who insults African-Americans and women,"" Sanders said","""Donald Trump would clearly, to my mind and I think the majority of Americans, be a disaster as president of the United States || It is unbelievable to me, and I say this in all sincerity, that the Republican Party would have a candidate for president who in the year 2016 makes bigotry and discrimination the cornerstone of his campaign || In my view, the American people will not vote for or tolerate a candidate who insults Mexicans and Latinos, who insults Muslims, who insults African-Americans and women,"" Sanders said","rks prepared before his sit-down with the president, Sanders ticked through a list of his priorities, promising to take those issues to the convention in Philadelphia next month. ""Donald Trump would clearly, to my mind and I think the majority of Americans, be a disaster as president of the United States. It is unbelievable to me, and I say this in all sincerity, that the Republican Party would have a candidate for president who in the year 2016 makes bigotry and discrimination the cornerstone of his campaign. In my view, the American people will not vote for or tolerate a candidate who insults Mexicans and Latinos, who insults Muslims, who insults African-Americans and women,"" Sanders said. ""Needless to say, I am going to do everything in my power, and I will work as hard as I can, to make sure that Donald Trump does not become president of the United States."" Sand",,
