doc_id,error_type,gold_label,pred_label,gold_start,gold_end,pred_start,pred_end,overlap_chars,gold_text,pred_text,context,manual_category,note
article_03,overlapping_different_label,anecdote,assumption,2598.0,2769.0,2594.0,2769.0,171,"in 2017 as anti-Trump backlash began to grow over connection to her father's divisive and controversial policies, retailers began distancing themselves from the Trump line","But in 2017 as anti-Trump backlash began to grow over connection to her father's divisive and controversial policies, retailers began distancing themselves from the Trump line","tal marketing strategist in San Francisco, California. ""I believe Ivanka is closing her company in order to avoid the further embarrassment of major retailers dropping her line."" But in 2017 as anti-Trump backlash began to grow over connection to her father's divisive and controversial policies, retailers began distancing themselves from the Trump line. They took down in-store promotional signage and relegated Ivanka's lines to their back racks, or continued to sell in store while removing the products from their website. Citi",,
article_04,overlapping_different_label,testimony,anecdote,4108.0,4227.0,4210.0,4227.0,17,"Some policy experts noted that the rate announcement is an annual adjustment the administration makes, not a new policy",not a new policy,"also affect the total payments. Those policies, including for risk adjustment, “coding intensity” and a quality bonus program, were still being reviewed by industry stakeholders. Some policy experts noted that the rate announcement is an annual adjustment the administration makes, not a new policy. And the Medicare Advantage cuts are no surprise, they said; most were already included in the ACA and other steps Congress has taken. “There don’t appear to be any new cuts that",,
article_05,overlapping_different_label,assumption,anecdote,1315.0,1403.0,1342.0,1403.0,61,Then Melania took the stage and repeated almost line-for-line what Michelle said in 2008,and repeated almost line-for-line what Michelle said in 2008,"C suggesting white people are better than any “sub-groups.” By the evening, speaker after speaker recalled in the most minute detail the attacks on the U.S. compound in Benghazi. Then Melania took the stage and repeated almost line-for-line what Michelle said in 2008: “From a young age, my parents impressed on me the values that you work hard for what you want in life, that your word is your bond and you do what you say and keep your promise;",,
article_08,overlapping_different_label,testimony,anecdote,4789.0,4951.0,4895.0,4951.0,56,The White House said Obama would hold a press conference in Washington on Friday at 2.15pm ET (7.15pm GMT) before leaving for his annual family vacation in Hawaii,before leaving for his annual family vacation in Hawaii,"itry Peskov said on Friday of the hacking accusation that the US should “either stop talking about it or finally produce some evidence, otherwise it all begins to look unseemly”. The White House said Obama would hold a press conference in Washington on Friday at 2.15pm ET (7.15pm GMT) before leaving for his annual family vacation in Hawaii.",,
article_11,overlapping_different_label,other,assumption,1224.0,1305.0,1297.0,1305.0,8,"around the time that Trump’s third wife, Melania, gave birth to their son, Barron",", Barron","I’m here for you. Don’t confuse McDougal with Stormy Daniels, the porn actress who accepted money through Cohen’s office to put the lid on her alleged affair with Trump in 2006, around the time that Trump’s third wife, Melania, gave birth to their son, Barron. Daniels is blond. Sure, McDougal describes a similar affair with Trump that overlapped with Daniels’, as well as Melania’s postpartum adjustment to new motherhood and of course B",,
article_17,overlapping_different_label,testimony,assumption,1846.0,1929.0,1846.0,1888.0,42,"In Asia, the spread was reportedly slowing, with banking systems largely unaffected","In Asia, the spread was reportedly slowing","hat were hit were still facing serious issues. French carmaker Renault said its plant in the northern town of Douai would not reopen on Monday as it dealt with the cyber-attack. In Asia, the spread was reportedly slowing, with banking systems largely unaffected: US President Donald Trump's Homeland Security adviser Tom Bossert has also confirmed that no US federal government systems were affected. This won't take long. Nobody knows. Eu",,
article_18,overlapping_different_label,assumption,anecdote,3580.0,3718.0,3651.0,3718.0,67,"Joe Manchin is facing a difficult re-election campaign in West Virginia, a traditionally Republican state that Mr Trump won by a landslide",", a traditionally Republican state that Mr Trump won by a landslide","had earlier said that although Mr Kavanaugh was a ""good man"", he was ""not the right person for the court at this time"" and his ""appearance of impropriety has become unavoidable"". Joe Manchin is facing a difficult re-election campaign in West Virginia, a traditionally Republican state that Mr Trump won by a landslide. He said he ""found Judge Kavanaugh to be a qualified jurist"". There were shouts of ""shame"" from the public gallery as he voted yes. Two Republican waverers, Susan Collins and Je",,
article_32,overlapping_different_label,testimony,anecdote,2768.0,2986.0,2767.0,2986.0,218,The panel proposed moving the records to the phone companies or another third party and requiring the NSA to get separate authority from the Foreign Intelligence Surveillance Court each time it wants to access the data,The panel proposed moving the records to the phone companies or another third party and requiring the NSA to get separate authority from the Foreign Intelligence Surveillance Court each time it wants to access the data,cials familiar with the White House review say the panel&aposs recommendation to strip the NSA of its authority to hold Americans&apos phone records has proven difficult for Obama. The panel proposed moving the records to the phone companies or another third party and requiring the NSA to get separate authority from the Foreign Intelligence Surveillance Court each time it wants to access the data. Obama has suggested he is open to moving the data out of the NSA. But officials say he is unlikely to announce specific entities he believes should hold the records in the futur,,
article_32,overlapping_different_label,anecdote,assumption,4379.0,4577.0,4457.0,4577.0,120,"Section 215 has been one of the most controversial aspects of the Patriot Act, which passed shortly after the Sept. 11, 2001, terrorist attacks and increased the government&aposs surveillance powers","which passed shortly after the Sept. 11, 2001, terrorist attacks and increased the government&aposs surveillance powers","ized to disclose the private discussions with the government. The U.S. officials insisted on anonymity because they were not authorized to discuss the White House review by name. Section 215 has been one of the most controversial aspects of the Patriot Act, which passed shortly after the Sept. 11, 2001, terrorist attacks and increased the government&aposs surveillance powers. Congress reauthorized the law in 2011. The section became known as the ""library records provision"" because it allowed the government to seize a wide range of documents, includin",,
article_39,overlapping_different_label,other,assumption,4002.0,4149.0,3998.0,4149.0,147,"rejecting repeated requests for an enhanced security presence in a city from which much of the West had withdrawn, due to growing jihadi dominance?","Or rejecting repeated requests for an enhanced security presence in a city from which much of the West had withdrawn, due to growing jihadi dominance?","lving a ""failure of [administration] policy."" What sort of failure? Take your pick. How about fueling a war in Libya with no apparent strategy to handle the resulting power vacuum? Or rejecting repeated requests for an enhanced security presence in a city from which much of the West had withdrawn, due to growing jihadi dominance? Or renewing a lease on our compound with a waiver for substandard security after it had faced several attempted attacks? Perhaps it was the lack of preparation for the contingency",,
