doc_id,prediction_index,pred_label,pred_start,pred_end,pred_text
article_01,0,assumption,0,108,Bernie Sanders on Thursday gave the strongest signals yet that he will soon bow out of the presidential race
article_01,1,testimony,109,250,telling reporters after meeting with President Barack Obama that he will ally himself with Hillary Clinton in the fight against Donald Trump
article_01,2,assumption,253,287,But he's not quite ready to go yet
article_01,3,testimony,313,542,The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary and said he wants to see whether the final vote count in California shows a tighter result
article_01,4,anecdote,543,633,"He also is planning to go forward with a big rally in Washington, D.C., on Thursday night"
article_01,5,assumption,737,838,"with Clinton, who is now the presumptive Democratic nominee, to defeat Trump in the general election"
article_01,6,anecdote,839,955,"Delivering remarks prepared before his sit-down with the president, Sanders ticked through a list of his priorities"
article_01,7,anecdote,956,1032,promising to take those issues to the convention in Philadelphia next month
article_01,8,testimony,1035,1161,"""Donald Trump would clearly, to my mind and I think the majority of Americans, be a disaster as president of the United States"
article_01,9,testimony,1162,1370,"It is unbelievable to me, and I say this in all sincerity, that the Republican Party would have a candidate for president who in the year 2016 makes bigotry and discrimination the cornerstone of his campaign"
article_01,10,testimony,1371,1555,"In my view, the American people will not vote for or tolerate a candidate who insults Mexicans and Latinos, who insults Muslims, who insults African-Americans and women,"" Sanders said"
article_01,11,testimony,1556,1729,"""Needless to say, I am going to do everything in my power, and I will work as hard as I can, to make sure that Donald Trump does not become president of the United States."""
article_01,12,testimony,1731,1836,"Sanders continued, ""I will of course, be competing in the D.C. primary, which will be held next Tuesday."""
article_01,13,testimony,1838,1900,"""This is the last primary of the Democratic nominating process"
article_01,14,testimony,1901,2043,"The major point that I will be making to the citizens of the District of Columbia is that I am strongly in favor of D.C. statehood,"" he said,"
article_01,15,testimony,2050,2161,that Vermont has roughly the same population as the nation's capital but does not have the same representation
article_01,16,testimony,2162,2278,"He also said he looks forward to the final count from Tuesday's primary in California, anticipating a closer result"
article_01,17,testimony,2281,2432,California Secretary of State Alex Padilla's office said the vote tally from Tuesday's primary will not be made official until the middle of next month
article_01,18,testimony,2435,2475,"""July 15 is when we certify all the vote"
article_01,19,testimony,2476,2593,"All the counties have until July 8 to send us their official votes,"" a spokesman from Padilla's office told POLITICO"
article_01,20,assumption,2596,2838,"For months, Sanders has pointed to his superior performance against Trump in hypothetical general-election matchup polls, expressing a belief that if he were to overcome Clinton's superdelegate advantage, he would be the safer bet in November"
article_01,21,assumption,2843,2916,Clinton continued to distance herself from Sanders in the delegate count
article_01,22,assumption,2917,3121,her allies in the Senate pivoted from telling their colleague to wind down operations in March to more recently urging the media and fellow Democrats to give him time and space to leave on his own accord
article_01,23,testimony,3124,3228,"""I think we should be a little graceful,"" Vice President Joe Biden told CNN on Wednesday on Capitol Hill"
article_01,24,testimony,3236,3391,"ning his remarks Thursday, Sanders thanked both Obama and Biden ""for the degree of impartiality they established during the course of this entire process."""
article_01,25,anecdote,3393,3574,"Sanders, who began his campaign last April outside the Capitol encircled by a gathering of media, found himself Thursday just miles down the road and faced with a crush of reporters"
article_01,26,testimony,3575,3700,"The senator said he spoke ""briefly to Secretary Clinton"" on Tuesday night, congratulating her ""on her very strong campaign."""
article_01,27,testimony,3700,3704,And
article_01,28,testimony,3704,3776,he said he will soon be sitting down with the former secretary of state
article_01,29,testimony,3779,3821,she readies for an epic battle with Trump
article_01,30,testimony,3824,4034,"""I look forward to meeting with her in the near future to see how we can work together to defeat Donald Trump and to create a government which represents all of us and not just the 1 percent,"" Sanders concluded"
article_01,31,testimony,4035,4096,before rushing away from reporters back into the White House
article_01,32,anecdote,4099,4211,"Less than two hours later, Clinton's campaign trumpeted Obama's endorsement in a video that was taped on Tuesday"
article_01,33,anecdote,4212,4312,"Meanwhile, Sanders was to meet with Biden at his Naval Observatory residence later in the afternoon"
article_01,34,testimony,4315,4567,"""I think you could describe the conversation as a friendly conversation that was focused on the future. Part of that future conversation was about the importance of the upcoming general election,"" White House press secretary Josh Earnest said Wednesday"
article_01,35,testimony,4568,4830,"""You've heard the president say on a number of occasions how important it is to him personally that he be succeeded in office by a president who is committed to building on the remarkable progress that our country has made over the last seven and a half years."""
article_01,36,anecdote,4864,4871,report
article_02,0,assumption,181,211,level in more than four years
article_02,1,assumption,214,368,"But the job market would be even better, and the unemployment rate even lower, had not the government spent most of the recovery cutting spending and jobs"
article_02,2,assumption,373,380,though
article_02,3,assumption,380,425,Wall Street may cheer February's jobs report
article_02,4,assumption,426,497,the pain of government cutbacks looks to get worse as the year goes on
article_02,5,statistics,500,645,"U.S. employers added 236,000 jobs to non-farm payrolls in February, the Bureau of Labor Statistics reported on Friday, up from 119,000 in January"
article_02,6,statistics,646,775,"That was the best payroll growth since 247,000 jobs last November and the second-best month for job growth of the past 12 months"
article_02,7,statistics,778,891,"The unemployment rate dropped to 7.7 percent from 7.9 percent in January, with 12 million people looking for work"
article_02,8,statistics,892,980,"That is the lowest unemployment rate since December 2008, when the rate was 7.3 percent"
article_02,9,testimony,983,1094,"""The recovery is gathering momentum,"" Paul Ashworth, chief U.S. economist at Capital Economics, wrote in a note"
article_02,10,assumption,1097,1181,But U.S. non-farm payrolls are still 3 million jobs shy of their pre-recession highs
article_02,11,assumption,1186,1291,the jobless rate is still too high to convince the Federal Reserve to stop pumping cash into the economy
article_02,12,testimony,1587,1671,", according to recent studies by the private forecasting firm Macroeconomic Advisers"
article_02,13,testimony,1674,1809,"""There really is the potential for trouble ahead,"" Ian Shepherdson, chief economist at Pantheon Macroeconomic Advisors, wrote in a note"
article_02,14,testimony,1810,1874,"""You can't take 1.5% of GDP out of the economy and see no hit."""
article_02,15,assumption,1876,1937,The report was significantly better than Wall Street expected
article_02,16,anecdote,1942,1965,U.S. stock prices rose
article_02,17,anecdote,1978,2044,"Dow Jones Industrial Average to a new record high of about 14,400"
article_02,18,anecdote,2073,2137,"'s 500-stock index also rose, coming within points of its record"
article_02,19,statistics,2138,2271,"Economists, on average, expected 160,000 payroll jobs and a 7.9 percent unemployment rate in February, according to a Reuters survey"
article_02,20,anecdote,2324,2335,other hand
article_02,21,statistics,2396,2421,highest since April 2012
article_02,22,assumption,2422,2476,Bond prices and yields move in the opposite direction
article_02,23,assumption,2479,2517,The report came with plenty of caveats
article_02,24,statistics,2518,2592,"January job growth was revised down sharply, from 157,000 to 119,000 jobs"
article_02,25,anecdote,2680,2688,workers
article_02,26,assumption,2689,2754,Labor-force participation has never recovered from the recession
article_02,27,assumption,2755,2869,suggesting either that large numbers of workers have retired early -- or have simply given up trying to find jobs
article_02,28,testimony,2870,2957,"Frustratingly, long-term unemployment rose, notes the Huffington Post's Arthur Delaney"
article_02,29,statistics,2960,3057,"Average hourly earnings for workers, meanwhile, rose 0.2 percent to $23.82 from $23.78 in January"
